Date,Close
2/11/20,184.44
2/12/20,184.71
2/13/20,183.71
2/14/20,185.35
2/18/20,187.23
2/19/20,187.28
2/20/20,184.42
2/21/20,178.59
2/24/20,170.89
2/25/20,168.07
2/26/20,170.17
2/27/20,158.18
2/28/20,162.01
3/2/20,172.79
3/3/20,164.51
3/4/20,170.55
3/5/20,166.27
3/6/20,161.57
3/9/20,150.62
3/10/20,160.92
3/11/20,153.63
3/12/20,139.06
3/13/20,158.83
3/16/20,135.42
3/17/20,146.57
3/18/20,140.40
3/19/20,142.71
3/20/20,137.35
3/23/20,135.98
3/24/20,148.34
3/25/20,146.92
3/26/20,156.11
3/27/20,149.70
3/30/20,160.23
3/31/20,157.71
4/1/20,152.11
4/2/20,155.26
4/3/20,153.83
4/6/20,165.27
4/7/20,163.49
4/8/20,165.13
4/9/20,165.14
4/13/20,165.51
4/14/20,173.70
4/15/20,171.88
4/16/20,177.04
4/17/20,178.60
4/20/20,175.06
4/21/20,167.82
4/22/20,173.52
4/23/20,171.42
4/24/20,174.55
4/27/20,174.05
4/28/20,169.81
4/29/20,177.43
4/30/20,179.21
5/1/20,174.57
5/4/20,178.84
5/5/20,180.76
5/6/20,182.54
5/7/20,183.60
5/8/20,184.68
5/11/20,186.74
5/12/20,182.51
5/13/20,179.75
5/14/20,180.53
5/15/20,183.16
5/18/20,184.91
5/19/20,183.63
5/20/20,185.66
5/21/20,183.43
5/22/20,183.51
5/26/20,181.57
5/27/20,181.81
5/28/20,181.40
5/29/20,183.25
6/1/20,182.83
6/2/20,184.91
6/3/20,185.36
6/4/20,182.92
6/5/20,187.20
6/8/20,188.36
6/9/20,189.80
6/10/20,196.84
6/11/20,186.27
6/12/20,187.74
6/15/20,187.74
6/16/20,193.57
6/17/20,194.24
6/18/20,196.32
6/19/20,195.15
6/22/20,200.57
6/23/20,201.91
6/24/20,197.84
6/25/20,200.34
6/26/20,196.33
6/29/20,198.44
6/30/20,203.51
7/1/20,204.70
7/2/20,206.26
7/6/20,210.70
